PUBID,SQFT,LnAreaT,ADJWT,SiteEUI,SourceEUI,WKHRS,NWKER,PCNUM,PcDensT,Bank50,HDD,HEATP,CDD,COOLP,WiFridge,OpFridge,ClFridge,ReFridge,VnFridge,NFLOORS
5357,13000,9.473,808.04,46.038,67.11409723,40,1,3,0.231,0,3740,95,1276,60,0,0,0,3,0,3
5364,450000,12.206,1.17,122.4743178,375.2268382,40,750,900,2,0,7296,100,533,100,10,1,5,5,20,4
5366,51000,10.84,88.09,67.19370588,157.8108316,45,98,112,2.196,0,925,50,1453,100,0,0,0,6,0,4
5367,102000,11.533,77.89,66.04952941,220.6054282,60,150,50,0.49,0,6135,100,820,100,0,0,0,0,3,7
5380,12000,9.393,869.22,73.87758333,195.6672922,66,70,35,2.917,0,5742,75,1178,75,0,0,0,2,1,3
5381,19750,9.891,444.58,40.89043038,136.5740375,53,48,48,2.43,0,1020,100,791,100,0,0,0,6,0,3
5418,16250,9.696,377.81,109.4950769,284.0400013,45,54,64,3.938,1,5673,100,713,100,0,0,0,3,2,2
5431,24250,10.096,406.42,205.0940619,322.5148408,53,75,51,2.103,0,6505,12,523,100,0,0,0,3,0,4
5437,7700,8.949,679.47,48.04818182,90.23383,45,10,8,1.039,0,6218,100,701,100,0,0,0,2,0,3
5441,98000,11.493,115.1,79.07544898,227.854266,50,125,130,1.327,0,2536,100,1676,100,0,0,0,6,2,2
5449,18500,9.826,780.38,109.5624324,161.4900583,50,28,30,1.622,0,7225,80,830,60,0,0,0,2,0,5
5462,48500,10.789,140.65,17.5902268,39.67291404,60,1,10,0.206,0,7218,25,521,40,0,0,0,0,0,7
5478,16750,9.726,402.35,148.4055522,323.634943,168,46,32,1.91,0,6093,100,516,75,0,0,0,1,1,3
5480,25000,10.127,406.42,65.83456,107.76811,70,25,25,1,0,4672,100,867,100,0,0,1,1,2,2
5492,260000,12.206,7.15,70.77270933,176.1500748,52,300,300,1.154,0,5320,100,961,75,0,0,11,28,4,20
5494,136000,11.82,74.65,105.5471397,294.7134475,45,500,400,2.941,0,2769,100,2198,100,0,0,0,0,0,4
5519,400000,12.206,73.78,46.5799675,128.30227,50,1600,1880,4.7,0,4909,100,898,100,2,7,3,20,20,7
5536,76000,11.238,221.72,262.9040263,559.9695229,168,80,80,1.053,0,6845,50,725,50,0,0,15,6,2,5
5553,800000,12.206,57.56,42.700405,136.0909381,66,2000,2000,2.5,0,2684,100,195,100,0,0,0,0,25,40
5564,41500,10.633,221.81,84.72549398,239.0055095,40,70,80,1.928,0,1411,100,441,100,0,0,0,0,0,4
5579,136000,11.82,43,162.4126691,239.7947119,84,80,80,0.588,0,4948,100,1013,100,0,0,0,0,0,8
5582,15500,9.649,780.38,53.40290323,128.0031324,40,50,50,3.226,0,5511,100,965,100,0,0,0,1,0,2
5600,600000,12.206,5.32,34.61240333,70.70320905,55,600,600,1,0,1813,90,224,0,0,0,2,30,4,20
5603,69000,11.142,80.53,12.36692754,32.72627991,60,246,99,1.435,0,5139,100,897,100,0,0,0,2,0,1
5608,50000,10.82,199.06,134.63492,280.814228,50,100,100,2,0,8234,100,762,100,0,0,0,3,1,3
5629,35000,10.463,406.42,58.06634286,157.2037288,50,108,160,4.571,0,6211,100,593,100,0,0,0,3,2,1
5668,28500,10.258,221.72,53.92652632,79.90481333,45,31,31,1.088,0,7488,100,223,60,0,0,0,2,0,3
5673,6800,8.825,2141.61,118.8023529,269.1741765,50,8,10,1.471,1,5803,100,707,100,0,0,0,2,0,2
5683,15000,9.616,864.37,96.81913333,176.3616559,72,20,36,2.4,0,5423,100,986,100,0,0,0,2,2,1
5691,15750,9.665,944.4,44.44050794,148.4312965,40,14,15,0.952,0,1008,100,3131,100,0,0,0,0,0,1
5706,5000,8.517,2459.66,147.3116,181.4274736,40,4,6,1.2,0,8581,50,378,25,0,0,0,0,0,4
5731,10000,9.21,869.22,49.4073,116.806523,103,19,10,1,0,4959,100,807,100,0,0,0,2,2,1
5736,152000,11.932,77.89,155.3160132,296.2877303,84,60,30,0.197,0,6763,100,888,15,0,0,0,3,5,2
5744,10000,9.21,734.43,206.5446,589.9527247,45,45,40,4,1,3260,100,1267,100,0,0,0,0,1,2
5746,90000,11.408,116.76,91.45943333,305.2949679,72,125,175,1.944,0,5716,100,800,100,0,0,0,5,1,3
5784,22500,10.021,377.81,43.79146667,95.33586676,45,4,8,0.356,0,5163,100,998,50,0,0,4,2,2,1
5799,63000,11.051,308.22,87.06928571,224.2231113,50,75,87,1.381,0,3238,100,1839,100,0,0,0,11,1,3
5802,86000,11.362,221.72,136.1125698,386.8411621,168,45,70,0.814,0,3908,100,312,100,0,0,0,2,4,2
5805,285000,12.206,40.28,94.8524807,309.5922685,66,700,700,2.456,0,1561,100,3300,100,0,0,4,0,0,20
5807,60000,11.002,406.42,58.09288333,112.2572884,50,40,36,0.6,0,8530,100,458,40,0,0,0,4,0,4
5815,24000,10.086,404.15,378.3078333,1133.54328,168,100,150,6.25,0,5913,100,558,100,0,0,0,1,3,2
5844,43000,10.669,199.06,88.50132558,212.9559873,52,120,200,4.651,0,5361,100,640,70,0,0,0,3,3,3
5848,260000,12.206,11.64,58.41105385,159.1699327,168,400,250,0.962,0,8251,100,669,90,0,0,0,12,6,6
5850,14500,9.582,132.45,99.38986207,237.2683555,55,24,45,3.103,0,979,44,1286,80,0,0,0,1,2,3
5851,146000,11.891,77.89,165.7098767,332.2025348,61,420,400,2.74,0,6222,100,773,100,0,0,0,15,3,3
5876,5000,8.517,2141.61,88.2194,172.5244058,39,3,5,1,0,6220,100,698,10,0,0,1,2,0,1
5886,600000,12.206,46.81,39.29597,74.04924448,50,1700,1500,2.5,0,6461,95,992,95,0,0,0,12,20,40
5895,34000,10.434,568.7,72.943,98.89208794,70,150,125,3.676,0,5386,100,920,100,0,0,0,6,0,5
5907,370000,12.206,6.04,153.5582649,409.824612,78,300,300,0.811,0,4179,99,1312,100,3,3,4,50,3,12
5924,19250,9.865,377.81,46.83044156,115.6751453,50,32,60,3.117,0,3284,95,1201,95,0,0,0,1,2,1
5932,15000,9.616,1063.17,207.5872667,486.3054707,40,23,121,8.067,0,2445,100,2023,100,0,0,0,2,3,2
5936,7500,8.923,2314.83,96.19626667,259.16746,40,32,34,4.533,0,3785,90,1351,90,0,0,0,4,1,2
5952,17750,9.784,406.42,115.9079437,210.8584475,40,41,50,2.817,0,5511,100,514,100,0,0,0,0,1,3
5954,280000,12.206,25.53,94.63949286,240.518708,168,745,1000,3.571,0,7058,73,771,73,3,0,0,0,9,8
5972,30000,10.309,221.72,124.4194,260.4453493,64,155,100,3.333,0,5999,100,739,100,0,0,0,0,0,3
6019,18000,9.798,864.37,59.15177778,164.9820065,40,75,77,4.278,0,4705,100,950,100,0,0,0,2,2,2
6038,5700,8.648,2739.65,55.69157895,171.8668911,50,8,6,1.053,1,6985,75,577,75,0,0,0,1,0,3
6057,96000,11.472,80.53,69.70694792,231.9796634,168,400,550,5.729,0,4460,100,245,100,0,0,0,24,6,3
6059,50000,10.82,199.06,224.21174,468.9573059,50,170,170,3.4,0,7682,100,876,100,0,0,0,1,2,3
6070,19250,9.865,780.38,84.88987013,176.2703909,55,34,34,1.766,0,7936,100,476,100,0,0,0,5,1,3
6077,415000,12.206,40.28,86.78052048,289.8469384,65,1000,1000,2.41,0,1363,100,2982,100,1,0,0,0,5,6
6119,20000,9.903,776.54,68.33435,95.30429605,37,8,9,0.45,1,8663,100,730,95,0,0,0,0,0,3
6120,600000,12.206,24.15,145.5544633,480.5416549,66,1800,2000,3.333,0,5477,100,1027,100,2,3,3,30,10,13
6128,9000,9.105,864.37,41.45466667,138.4585867,40,15,20,2.222,0,5616,100,883,95,0,0,0,1,0,1
6157,84000,11.339,113.64,70.55888095,222.16324,40,215,500,5.952,0,6681,100,658,100,0,0,1,12,0,1
6180,6000,8.7,2463.5,20.74266667,69.28050667,48,18,30,5,0,5740,100,912,100,0,0,0,1,0,2
