BldgID,Area,ADJWT,SourceEUI,UnitDen,CapFactor,LiftDen,WkrDen,PcDen,CFDen,CWDen,RWDen,RWDenT,CDD,HDD,CoolP,HeatP
279,81563,182.9,243.9,0.969,100,0.135,0.895,0.123,0.208,0.025,0.27,0.16,591,5779,100,100
280,160408,182.9,167.4,1.222,82,0,0.517,0.218,0.044,0.075,0.287,0.16,576,5764,100,100
281,167041,182.9,164.7,1.269,77,0.006,0.269,0.227,0.054,0.03,0.311,0.16,834,5331,100,100
282,83600,182.9,154.2,1.722,97,0,0.299,0.12,0.06,0,0.12,0.12,420,5804,100,100
283,47500,182.9,226.8,3.116,99,0,0.526,0.211,0.105,0,0.211,0.16,420,5804,100,100
284,67158,182.9,234.1,1.147,97,0,0.447,0.074,0.074,0.03,0.074,0.074,3747,257,100,100
285,90000,1.5,41.4,0.978,60,0,0.222,0.056,0.011,0,0.033,0.033,484,1417,75,75
286,11715,1.5,122.9,1.878,68,0,0.683,0.427,0.085,0.085,0.171,0.16,989,2671,95,95
287,56981,1.5,55.7,1.72,82,0,0.351,0.175,0.053,0.018,0.053,0.053,484,1417,100,100
288,137000,1.5,37.1,1.255,62,0,0.277,0.073,0.029,0.007,0.022,0.022,484,1417,100,100
289,58880,1.5,72.6,1.8,50,0,0.476,0.119,0.017,0.017,0.034,0.034,696,1118,100,100
290,74000,1.5,60.7,1.324,75,0.014,0.297,0.081,0.054,0,0.095,0.095,2380,2317,100,100
291,21014,1.5,92.8,4.093,67,0.048,0.999,0.333,0.238,0.048,0.095,0.095,696,1118,100,100
292,50180,1.5,56.6,1.574,95,0,0.498,0.139,0.06,0,0.1,0.1,989,2671,100,100
293,62000,1.5,74.3,1.403,72,0,0.355,0.097,0.081,0.016,0.113,0.113,3862,1969,100,100
294,69533,1.5,50.7,1.395,84,0,0.288,0.086,0.072,0.101,0,0,989,2671,40,100
295,89750,1.5,58.9,1.538,59,0,0.334,0.089,0.022,0,0.089,0.089,3862,1969,100,100
296,30002,1.5,71.4,2.033,87,0,0.233,0.133,0.067,0,0.067,0.067,484,1417,100,100
297,45000,1.5,68.4,1.622,68,0,0.311,0.133,0.022,0.022,0.044,0.044,484,1417,100,100
298,54072,1.5,91.1,1.646,64,0,0.388,0.148,0.037,0,0.074,0.074,989,2671,95,95
299,69356,1.5,64.4,1.658,66,0,0.433,0.087,0.029,0,0.058,0.058,484,1417,100,100
300,63000,1.5,53.4,1.381,64,0,0.317,0.079,0.048,0.016,0,0,484,1417,100,100
301,48500,1.5,70.5,3.856,64,0,0.412,0.082,0.021,0.021,0.041,0.041,484,1417,100,100
302,51001,1.5,65.6,1.745,98,0,0.431,0.157,0.02,0.118,0,0,484,1417,95,95
303,158426,182.9,69,1.086,98,0,0.189,0.063,0.032,0,0.063,0.063,2380,2317,100,100
304,35772,1.1,166.3,2.376,64,0,0.447,0.28,0.14,0,0.224,0.16,85,3070,100,100
305,120898,1.1,13.7,2.275,33,0,0.165,0.083,0.05,0,0.124,0.124,3438,1259,100,100
306,48000,1.1,123.7,2.125,57,0,0.458,0.188,0.125,0.021,0.146,0.146,989,2671,100,100
307,57725,1.1,116.9,2.581,70,0,0.398,0.121,0.087,0,0.069,0.069,696,1118,100,100
