PUBID,SQFT,ADJWT,Site,Source,WKHRS,NWKER,PCNUM,WiF,Reg,RegDens,RegDensT,OpF,ClF,HDD,CDD,HEATP,COOLP
4057,16000,377.5,38.2845625,117.1138324,54,7,11,0,0,0,0,0,0,1674,2638,33,33
4068,8000,808.04,66.471375,113.0005865,56,6,4,0,1,0.125,0.125,0,0,5074,1124,100,100
4091,10000,807.37,222.7442,743.965628,98,9,7,1,10,1,0.71,0,3,135,5206,0,100
4137,15000,869.22,28.8614,60.55723867,45,12,12,0,0,0,0,0,0,6983,419,100,100
4209,130000,84.64,111.3578308,369.6652026,102,72,30,0,20,0.153846154,0.153846154,0,0,569,4176,100,100
4212,15000,734.43,10.34953333,34.56744133,57,3,0,0,1,0.066666667,0.066666667,0,1,3248,1675,50,50
4231,10000,869.22,74.9345,196.592928,73,4,1,0,4,0.4,0.4,0,0,5491,823,100,100
4241,50000,81.35,33.24468,76.96604866,71,11,4,0,0,0,0,0,0,6124,584,60,60
4249,106000,83.77,69.64830189,200.8350799,95,30,10,0,20,0.188679245,0.188679245,0,4,6713,567,100,100
4261,108000,80.51,125.8263889,342.3986275,91,90,14,3,12,0.111111111,0.111111111,13,4,4336,926,100,100
4268,24500,706.3,26.48742857,88.46801143,58,6,3,0,0,0,0,0,0,5669,960,95,95
4298,14250,807.37,21.46014035,57.29347621,52,4,5,0,1,0.070175439,0.070175439,0,0,1630,2812,50,50
4335,19250,2314.83,24.47896104,65.00856083,54,5,5,0,2,0.103896104,0.103896104,0,0,2855,1683,100,80
4374,142000,203.22,113.6097042,310.0772403,74,50,25,5,21,0.147887324,0.147887324,11,1,5649,916,90,90
4416,18000,377.81,69.95241259,232.2481806,80,10,5,0,3,0.166666667,0.166666667,0,3,4630,1269,70,100
4441,186000,177.58,159.7407742,403.481661,168,133,4,3,25,0.134408602,0.134408602,4,4,3048,1484,100,100
4471,8000,807.37,62.833625,209.8643075,76,5,0,0,3,0.375,0.375,0,4,634,4498,100,100
4485,7100,2447.55,129.0074648,172.4121254,37,2,1,0,0,0,0,0,0,7117,895,100,100
4607,10500,406.42,35.21590476,55.70466238,63,3,1,0,1,0.095238095,0.095238095,0,0,5956,514,60,0
4616,90000,190.78,71.53402222,238.9236342,84,40,8,0,17,0.188888889,0.188888889,6,0,1812,2795,100,100
4617,8900,2996.93,54.24719101,150.8771931,65,4,3,0,1,0.112359551,0.112359551,0,0,1834,1571,100,100
4659,118000,80.51,80.27579661,259.2458321,168,67,10,4,20,0.169491525,0.169491525,0,4,4894,986,100,100
4667,79000,221.72,51.39722785,103.8684623,57,12,5,1,2,0.025316456,0.025316456,0,5,6182,547,100,90
