PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
4725,31000,224.72,5,9,70,20,8,0,0,0,1,1,5991,25,571,25,34.8803871,77.79823713,0,1,0
4771,120000,226.15,5,10,45,16,8,0,0,1,0,1,2241,3,1280,3,3.006683333,10.04232233,0,1,0
4794,68000,469.34,5,9,122,90,35,0,0,0,1,1,6343,100,602,26,59.08925,114.7472581,0,1,0
4813,33000,880.97,5,10,50,40,40,0,0,1,0,1,5527,100,1008,5,70.11181818,118.5053112,0,1,0
4872,300000,42.03,5,10,50,25,4,0,0,1,0,1,6840,60,858,1,26.91799,44.05390573,0,1,0
4877,15000,3065.81,5,9,50,4,3,0,0,0,1,1,941,15,4235,15,8.3908,28.025272,0,1,0
4919,6000,2314.83,5,10,45,0,,0,0,1,0,1,2941,90,2218,0,10.29483333,16.85149333,0,1,0
4923,14000,807.37,5,10,48,20,7,0,0,1,0,1,1340,25,3098,25,25.95078571,85.17626929,0.6435,1,0
4929,90000,190.78,5,10,168,20,10,0,0,1,0,1,1712,25,2744,25,8.055255556,25.03430632,0,1,0
4932,370000,5.32,5,10,60,150,100,0,0,1,0,1,4396,20,258,0,17.16273243,36.21694264,0,1,0
4964,55000,343.4,5,9,50,10,3,0,0,0,1,1,3423,100,1481,5,17.01761818,48.37971758,0,1,0
5025,13500,1181.96,11,20,48,15,4,2,1,0,0,0,7491,50,615,10,33.63888889,103.107911,0,1,0.148148148
5035,36500,409.62,5,10,55,44,44,0,0,1,0,1,6349,100,621,100,61.79643381,129.2400558,0.058488606,1,0
5038,50000,1254.36,5,10,40,14,12,0,0,1,0,1,826,5,5026,5,7.64752,25.5427168,0,1,0
5064,30000,224.72,5,9,60,12,12,0,0,0,1,1,5998,10,1074,10,16.91286667,37.0010734,0,1,0
5101,44000,702.44,5,9,72,20,7,0,0,0,1,1,766,25,4514,30,15.40511364,51.45307955,0,1,0
5103,11000,807.37,5,9,40,10,8,0,0,0,1,1,134,0,5000,20,8.690363636,29.02581455,0,1,0
5127,184000,226.15,5,9,48,27,18,0,0,0,1,1,2255,1,1404,1,7.749173913,25.88224087,0,1,0
5128,84000,240.9,5,10,50,3,1,0,0,1,0,1,701,0,4237,0,5.561642857,18.57588714,0,1,0
5136,285000,1005.73,5,10,58,1,1,0,0,1,0,1,6456,100,730,0,212.5012035,404.6195251,0.031610526,1,0
5150,6000,780.38,5,9,60,5,2,0,0,0,1,1,5489,100,623,0,146.6356667,215.232279,7.568166667,1,0
5178,475000,40.28,5,10,89,200,100,0,0,1,0,1,2559,40,2138,35,32.46551368,83.59624453,0.095597895,1,0
5198,45000,223.47,5,9,40,33,12,0,0,0,1,1,4299,100,1531,13,49.06795556,93.76825449,0,1,0
5200,23500,2739.65,5,10,40,0,,0,0,1,0,1,6672,100,432,0,3.412638298,5.210369787,0,1,0
5201,150000,82.18,5,10,50,4,17,1,0,1,0,1,4680,10,1233,10,9.748613333,25.63204544,0,1,0.006666667
5225,230000,42.03,5,9,75,25,7,0,0,0,1,1,6023,100,724,45,45.92852609,95.74951466,0,1,0
5239,106000,74.86,5,9,90,60,50,0,0,0,1,1,4533,100,1323,25,47.45262264,130.579989,0,1,0
