PUBID8,SQFT,ADJWT,PBA,PBAPLUS,WKHRS,NWKER,PCNUM,NoWFridge,RWH,NonRWH,DistCtr,nRWH,HDD,HEATP,CDD,COOLP,SiteEUI,SourceEUI,PropSiteEUI,SmallPropane,WFDens
2405,118000,221.64,5,9,55,160,200,0,0,0,1,1,5806,100,1343,25,181.5991441,359.8025959,0,1,0
2413,60000,1231.75,5,9,60,20,6,0,0,0,1,1,6483,100,534,10,33.9999,41.83340307,0,1,0
2416,82000,68.04,5,9,75,25,45,0,0,0,1,1,3171,15,1881,15,36.8844878,118.3910534,0,1,0
2478,410000,122.17,5,9,65,8,6,0,0,0,1,1,6127,100,566,1,1.139358537,3.805457512,0,1,0
2497,24000,121.02,5,9,80,30,30,0,0,0,1,1,278,80,4013,20,30.11529167,100.5850742,0,1,0
2526,96000,88.09,5,9,45,50,50,0,0,0,1,1,2366,27,2076,27,25.304,76.99327567,0.473010417,1,0
2534,164000,88.09,5,9,55,286,210,0,0,0,1,1,1786,100,1523,100,50.87918293,160.8232221,0,1,0
2543,30000,409.62,5,10,45,33,29,0,0,1,0,1,5237,100,954,50,38.05023333,85.86605973,0,1,0
2590,12750,746.1,5,9,48,5,5,0,0,0,1,1,4219,100,1432,20,66.37270588,106.0764536,0,1,0
2600,400000,82.18,5,9,80,20,20,2,0,0,1,1,6456,100,957,20,10.497095,11.0305745,0,1,0.005
2639,8500,1288.73,5,10,60,0,,0,0,1,0,1,8011,0,532,0,2.174,7.26116,0,1,0
2690,200000,243.05,5,9,60,16,5,0,0,0,1,1,3226,2,1963,2,7.8131,25.12647997,0,1,0
2693,13000,377.5,5,9,50,8,5,0,0,0,1,1,562,100,4360,90,32.96767955,109.7294217,0.164218009,1,0
2721,60000,80.53,5,9,60,70,50,0,0,0,1,1,5529,100,1239,25,68.91983333,163.3595689,0,1,0
2745,19500,377.5,5,9,40,9,2,0,0,0,1,1,1561,40,3045,40,11.10246154,34.40293923,0,1,0
2756,6000,864.37,5,10,60,7,6,0,0,1,0,1,6470,100,578,25,59.94083333,111.5492708,0,1,0
2829,126000,155.65,5,9,50,6,4,0,0,0,1,1,915,0,4004,1,6.943396825,23.1909454,0,1,0
2863,400000,112.82,5,9,77,73,14,0,0,0,1,1,4771,100,1301,40,6.90916,20.06353655,0.1135225,1,0
2885,100000,76.39,5,9,168,45,25,2,0,0,1,1,5240,10,802,10,92.49476,290.2657233,0,1,0.02
2948,74000,673.5,5,9,156,100,30,1,0,0,1,1,4526,100,1421,12,45.9877973,125.4561713,0,1,0.013513514
2973,20000,4044.03,5,9,80,15,10,0,0,0,1,1,6553,100,895,0,32.21845,61.02537895,0,1,0
3032,98000,94.77,5,10,144,10,,0,0,1,0,1,5737,100,609,0,21.36666327,42.56174423,0,1,0
3053,15000,807.37,5,10,60,10,3,0,0,1,0,1,1071,33,2968,33,15.49226667,51.74417067,0,1,0
3058,10000,864.37,5,10,50,6,6,0,0,1,0,1,7032,25,671,25,81.3788,119.6766703,0,1,0
3060,106000,111.77,5,10,60,4,1,0,0,1,0,1,4142,100,1430,1,23.10458491,77.16931358,0,1,0
3078,20500,364.2,5,9,60,20,20,0,0,0,1,1,528,25,4863,25,43.41009756,144.6746,0,1,0
3092,12500,679.47,5,10,40,6,2,0,0,1,0,1,6855,50,531,15,17.74163412,33.66716742,0.860834123,1,0
3095,24250,781.6,5,9,45,12,25,0,0,0,1,1,4787,100,1069,33,22.94465979,76.63516371,0,1,0
3096,5000,2544.74,5,9,45,2,1,0,0,0,1,1,1447,40,3443,40,33.9284,99.514703,0,1,0
3127,65000,478.9,5,9,120,20,20,2,0,0,1,1,2167,6,1284,7,58.13747692,186.4686253,0,1,0.030769231
3137,128000,221.72,5,10,90,45,20,0,0,1,0,1,8210,100,434,8,58.3108125,143.8509162,0,1,0
3191,295000,51.21,5,9,100,425,475,0,0,0,1,1,1565,12,472,12,32.68030508,99.88661795,0,1,0
3266,40500,369.82,5,9,60,35,25,0,0,0,1,1,6079,100,1121,20,44.44733333,87.25058291,0,1,0
3272,70000,221.64,11,20,120,45,20,1,1,0,0,0,5580,15,745,15,81.56465714,227.5725491,0,1,0.014285714
3281,10000,2314.83,5,10,55,5,3,0,0,1,0,1,3349,100,1283,40,26.5901,59.5907764,0,1,0
3286,140000,72.3,5,9,60,30,20,0,0,0,1,1,6141,100,1008,25,38.35187143,80.78995629,0,1,0
3291,40000,411.91,5,9,55,45,5,0,0,0,1,1,6303,100,614,15,37.522075,60.37055008,0,1,0
3307,7900,155.92,5,9,40,14,15,0,0,0,1,1,1202,100,690,100,38.08556962,117.3068418,0,1,0
3313,95000,329.6,5,9,65,33,28,0,0,0,1,1,943,10,3834,10,15.04792632,50.26007389,0,1,0
3377,200001,63.85,5,10,60,45,40,0,0,1,0,1,2980,100,1320,10,14.13378433,45.01417461,0,1,0
3378,15000,406.42,5,9,60,15,20,0,0,0,1,1,5172,100,1060,100,64.96486667,132.206623,0,1,0
3413,800000,82.18,5,9,144,1800,600,1,0,0,1,1,4672,100,1424,15,133.0356763,388.8180953,0,1,0.00125
3443,74000,155.65,5,9,55,27,27,0,0,0,1,1,676,9,4719,9,27.05978378,90.37967784,0,1,0
3449,18000,2447.55,5,10,30,1,,0,0,1,0,1,6055,0,888,40,2.231833333,7.454323333,0,1,0
3461,12000,1433.2,5,10,40,9,9,0,0,1,0,1,5637,15,813,15,28.40891667,62.78625833,0,1,0
3463,35000,880.97,5,9,60,12,13,0,0,0,1,1,5090,100,884,25,68.89211429,99.97374611,0,1,0
3464,18000,406.42,5,9,60,0,4,0,0,0,1,1,5762,100,781,90,53.90761111,109.4704607,0,1,0
3467,180000,82.18,5,9,100,150,90,0,0,0,1,1,4988,100,1246,25,80.04740556,163.2638161,0,1,0
3501,22000,869.22,5,10,54,3,5,0,0,1,0,1,5940,20,771,20,18.30018182,39.59858559,0,1,0
3507,138000,140.77,5,9,65,167,115,0,0,0,1,1,6812,100,876,8,24.39572464,49.08177225,0,1,0
3544,42000,818.97,5,9,50,30,8,0,0,0,1,1,3322,10,1231,10,9.2275,30.81985,0,1,0
3559,20000,206.74,5,9,168,20,10,0,0,0,1,1,6164,34,784,34,162.8604,340.3352214,0,1,0
3580,100000,188.02,5,9,40,27,11,0,0,0,1,1,769,0,1920,10,16.726,55.86484,0,1,0
3643,35000,790.94,5,9,50,12,8,0,0,0,1,1,7870,100,419,15,36.00337143,55.21195343,0,1,0
3659,8000,807.37,5,9,40,3,3,0,0,0,1,1,1974,5,3556,5,16.766625,56.0005275,0,1,0
